Объект,Оборудование,Тип,ПериодДней,ПоследнееТО,Ответственный
"Усть-Каменогорск, АМТС/Ед.гермозоны",Модульный инвертор №3 УИЦ-9000 9кВт (инв. 130015536952),ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Модульный инвертор №4 УИЦ-9000 9кВт (инв. 130015536951),ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Модульный инвертор №5 УИЦ-9000 9кВт (инв. 130015537047),ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Модульный инвертор №6 УИЦ-9000 9кВт (инв. 130016425632),ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Модульный инвертор №7 УИЦ-9000 9кВт (инв. 130015907246),ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Инверторная система SH 2704X5.6P45.A49 (инв. 130015536728),ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ИБП Lan Pro 6-11A,ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ИБП Lan Pro 6-11A,ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","Инверторное устройство №1 13,5 кВА ELTEK",ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","Инверторное устройство №2 13,5 кВА ELTEK",ИБП,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЩВ АО, ЩАО 1-4 эт., сеть ав. Освещения",ЩПТ/ВУ,365,2026-03-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Электроргенератор ЭД-600 Астра 825-400 (инв. 130014181117),ДГУ,30,2026-09-02,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Электрогенератор 1Е300МА3 (инв. 130015537112),ДГУ,30,2026-09-02,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",STULZ ASD 341A 2шт. (инв. 130019405895),Кондиционер,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",STULZ CCU 171A 3шт. (инв. 130017359973),Кондиционер,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",GREE160 2шт. (инв. 130020472861 130020472862),Кондиционер,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","Panasonic 2шт. (инв. 130017360006
130017360007)",Кондиционер,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Сплитсистема OTEX 7Kw (инв. 130017360069),Кондиционер,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",LG 2шт. Серверная ЦОУ (инв. 130014040834 130014040835),Кондиционер,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Сплитсистема LG КСО 4 эт (инв. 130017360013),Кондиционер,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","STULZ ASU 321A 3 шт. (инв. 130017360019
130017360020
130017360021)",Кондиционер,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Заземляющее устройство,ЩПТ/ВУ,365,2026-03-19,Галиев Д.Р.
